polybagDataId,ownedPolybag,dayAfterPlanted,ec,n,p,k,ph,createdAt,updatedAt
25,5,1,1.787099002500554,11.87,6.94,16.53,6.89,2024-01-01 19:12:00,2024-01-01 19:12:00
26,1,2,1.1632328015854785,29.07,14.57,17.17,6.28,2024-01-02 00:00:00,2024-01-02 00:00:00
27,1,2,1.2993803857263537,26.46,9.03,34.45,5.84,2024-01-02 04:48:00,2024-01-02 04:48:00
28,1,2,1.9492737303728522,20.11,8.15,25.78,6.97,2024-01-02 09:36:00,2024-01-02 09:36:00
29,1,2,1.031440191960066,28.73,6.49,33.69,6.13,2024-01-02 14:24:00,2024-01-02 14:24:00
30,1,2,1.778330048639518,29.67,6.62,26.44,5.59,2024-01-02 19:12:00,2024-01-02 19:12:00
31,2,2,1.6873216568626237,24.27,8.68,31.65,6.5,2024-01-02 00:00:00,2024-01-02 00:00:00
32,2,2,1.9663588391449676,24.7,14.97,22.84,6.09,2024-01-02 04:48:00,2024-01-02 04:48:00
33,2,2,1.4906103979414767,29.45,6.72,20.04,6.64,2024-01-02 09:36:00,2024-01-02 09:36:00
34,2,2,1.3902260007200666,14.55,6.53,31.59,6.02,2024-01-02 14:24:00,2024-01-02 14:24:00
35,2,2,1.8551988640816393,15.56,13.04,29.42,5.64,2024-01-02 19:12:00,2024-01-02 19:12:00
36,3,2,1.2071981609686588,28.64,9.51,15.91,6.21,2024-01-02 00:00:00,2024-01-02 00:00:00
37,3,2,1.363721599117508,25.97,7.01,21.64,6.47,2024-01-02 04:48:00,2024-01-02 04:48:00
38,3,2,1.505664462289971,19.91,9.14,15.24,6.26,2024-01-02 09:36:00,2024-01-02 09:36:00
39,3,2,1.9223872676972544,13.96,12.3,23.27,5.62,2024-01-02 14:24:00,2024-01-02 14:24:00
40,3,2,1.2467192426046836,20.95,11.66,34.37,6.81,2024-01-02 19:12:00,2024-01-02 19:12:00
41,4,2,1.6564977007017412,17.57,7.91,32.3,6.26,2024-01-02 00:00:00,2024-01-02 00:00:00
42,4,2,1.923399991117,29.87,5.11,25.17,6.12,2024-01-02 04:48:00,2024-01-02 04:48:00
43,4,2,1.2127182381436472,29.44,12.83,17.9,6.63,2024-01-02 09:36:00,2024-01-02 09:36:00
44,4,2,1.7189107960277568,15.78,14.85,27.31,6.58,2024-01-02 14:24:00,2024-01-02 14:24:00
45,4,2,1.2172723942501937,20.53,10.79,28.68,5.73,2024-01-02 19:12:00,2024-01-02 19:12:00
46,5,2,1.4032295357516515,13.02,7.7,28.38,6.03,2024-01-02 00:00:00,2024-01-02 00:00:00
47,5,2,1.9379452978196652,11.9,9.21,24.34,5.98,2024-01-02 04:48:00,2024-01-02 04:48:00
48,5,2,1.2520553928536922,11.03,8.74,28.08,6.47,2024-01-02 09:36:00,2024-01-02 09:36:00
49,5,2,1.5952443500734192,14.56,7.55,34.71,5.69,2024-01-02 14:24:00,2024-01-02 14:24:00
50,5,2,1.6572065575173298,15.29,8.45,16.24,6.29,2024-01-02 19:12:00,2024-01-02 19:12:00
51,1,3,1.3078343744464376,22.19,9.73,21.41,5.75,2024-01-03 00:00:00,2024-01-03 00:00:00
52,1,3,1.575065895149824,16.41,8.47,23.81,6.19,2024-01-03 04:48:00,2024-01-03 04:48:00
53,1,3,1.1289790497591699,12.92,11.6,31.88,6.17,2024-01-03 09:36:00,2024-01-03 09:36:00
54,1,3,1.8209200526103346,17.73,11.98,19.88,5.6,2024-01-03 14:24:00,2024-01-03 14:24:00
55,1,3,1.7025751972845105,15.6,5.58,21.78,5.75,2024-01-03 19:12:00,2024-01-03 19:12:00
56,2,3,1.1464275504423642,26.03,10.73,25.89,5.98,2024-01-03 00:00:00,2024-01-03 00:00:00
57,2,3,1.4319813711941312,18.51,14.52,15.82,6.71,2024-01-03 04:48:00,2024-01-03 04:48:00
58,2,3,1.527461964884512,22.32,14.69,28.36,5.5,2024-01-03 09:36:00,2024-01-03 09:36:00
59,2,3,1.3529612175995145,13.89,13.26,28.49,5.81,2024-01-03 14:24:00,2024-01-03 14:24:00
60,2,3,1.2542658472064512,14.63,7.95,19.24,5.88,2024-01-03 19:12:00,2024-01-03 19:12:00
61,3,3,1.5095489252281253,28.94,8.33,15.43,6.27,2024-01-03 00:00:00,2024-01-03 00:00:00
62,3,3,1.4788416637408548,18.02,7.37,15.91,6.27,2024-01-03 04:48:00,2024-01-03 04:48:00
63,3,3,1.301385432074508,25.7,13.67,20.78,6.32,2024-01-03 09:36:00,2024-01-03 09:36:00
64,3,3,1.6292397953781372,19.71,7.78,29.18,6.08,2024-01-03 14:24:00,2024-01-03 14:24:00
65,3,3,1.644135451106798,18.76,10.42,20.97,5.9,2024-01-03 19:12:00,2024-01-03 19:12:00
66,4,3,1.5923032305802096,12.89,5.66,33.68,6.25,2024-01-03 00:00:00,2024-01-03 00:00:00
67,4,3,1.0960629125979038,29.68,10.78,19.96,5.71,2024-01-03 04:48:00,2024-01-03 04:48:00
68,4,3,1.9141481355490417,11.15,11.1,31.2,5.87,2024-01-03 09:36:00,2024-01-03 09:36:00
69,4,3,1.2813293474283647,15.26,7.25,30.12,5.93,2024-01-03 14:24:00,2024-01-03 14:24:00
70,4,3,1.8967203969659001,12.74,13.24,21.25,6.06,2024-01-03 19:12:00,2024-01-03 19:12:00
71,5,3,1.0927578247472234,25.37,7.78,23.37,6.67,2024-01-03 00:00:00,2024-01-03 00:00:00
72,5,3,1.321819222521842,10.79,6.67,34.44,6.0,2024-01-03 04:48:00,2024-01-03 04:48:00
73,5,3,1.230937774064931,15.28,5.94,28.55,6.75,2024-01-03 09:36:00,2024-01-03 09:36:00
74,5,3,1.4763077514197953,23.18,14.97,19.76,5.88,2024-01-03 14:24:00,2024-01-03 14:24:00
75,5,3,1.4419127352049221,11.28,5.79,20.63,5.79,2024-01-03 19:12:00,2024-01-03 19:12:00
76,1,4,1.474429659754287,22.82,14.13,19.17,6.63,2024-01-04 00:00:00,2024-01-04 00:00:00
77,1,4,1.395972678368964,23.28,13.89,25.25,6.0,2024-01-04 04:48:00,2024-01-04 04:48:00
78,1,4,1.556462267837749,22.08,12.83,32.0,6.34,2024-01-04 09:36:00,2024-01-04 09:36:00
79,1,4,1.3656869511852192,13.97,7.73,21.28,6.62,2024-01-04 14:24:00,2024-01-04 14:24:00
80,1,4,1.5192684706697681,26.36,5.74,33.46,6.46,2024-01-04 19:12:00,2024-01-04 19:12:00
81,2,4,1.8104202176882698,10.8,8.83,27.67,5.6,2024-01-04 00:00:00,2024-01-04 00:00:00
82,2,4,1.5572640471162624,26.33,7.02,32.74,6.26,2024-01-04 04:48:00,2024-01-04 04:48:00
83,2,4,1.605607271499896,14.16,6.78,23.27,6.72,2024-01-04 09:36:00,2024-01-04 09:36:00
84,2,4,1.6665649067989485,12.68,8.63,15.53,6.48,2024-01-04 14:24:00,2024-01-04 14:24:00
85,2,4,1.8345880929772909,27.61,13.54,29.31,6.91,2024-01-04 19:12:00,2024-01-04 19:12:00
86,3,4,1.7288721241285971,10.97,8.09,20.59,6.29,2024-01-04 00:00:00,2024-01-04 00:00:00
87,3,4,1.2853182708917974,16.37,13.96,21.19,6.5,2024-01-04 04:48:00,2024-01-04 04:48:00
88,3,4,1.6997300623667468,12.89,10.46,23.41,7.0,2024-01-04 09:36:00,2024-01-04 09:36:00
89,3,4,1.5177580249036184,20.86,13.97,30.29,5.85,2024-01-04 14:24:00,2024-01-04 14:24:00
90,3,4,1.13278857749585,21.34,11.44,19.9,6.86,2024-01-04 19:12:00,2024-01-04 19:12:00
91,4,4,1.574907276873719,13.55,14.4,24.98,5.7,2024-01-04 00:00:00,2024-01-04 00:00:00
92,4,4,1.508480127721037,10.56,13.87,17.77,5.56,2024-01-04 04:48:00,2024-01-04 04:48:00
93,4,4,1.0289722835297095,19.54,5.27,20.63,6.89,2024-01-04 09:36:00,2024-01-04 09:36:00
94,4,4,1.080023751984161,14.35,9.75,29.4,6.0,2024-01-04 14:24:00,2024-01-04 14:24:00
95,4,4,1.3850958905987238,14.2,5.57,27.78,5.73,2024-01-04 19:12:00,2024-01-04 19:12:00
96,5,4,1.4269556353637274,26.93,8.07,25.24,5.83,2024-01-04 00:00:00,2024-01-04 00:00:00
97,5,4,1.7651205882318948,27.77,14.79,26.59,6.76,2024-01-04 04:48:00,2024-01-04 04:48:00
98,5,4,1.6358106339489107,11.89,14.36,31.61,5.64,2024-01-04 09:36:00,2024-01-04 09:36:00
99,5,4,1.859470432884447,18.91,13.74,17.18,6.0,2024-01-04 14:24:00,2024-01-04 14:24:00
100,5,4,1.3623391802615368,15.99,13.04,18.52,6.91,2024-01-04 19:12:00,2024-01-04 19:12:00
101,1,5,1.8565775955290558,25.15,12.42,20.42,6.75,2024-01-05 00:00:00,2024-01-05 00:00:00
102,1,5,1.4156310317723348,24.34,9.77,26.27,6.3,2024-01-05 04:48:00,2024-01-05 04:48:00
103,1,5,1.3736395954499616,14.36,14.83,24.25,6.8,2024-01-05 09:36:00,2024-01-05 09:36:00
104,1,5,1.8764917429186183,12.19,7.07,24.5,5.73,2024-01-05 14:24:00,2024-01-05 14:24:00
105,1,5,1.3636717280065664,29.26,5.7,15.2,6.95,2024-01-05 19:12:00,2024-01-05 19:12:00
106,2,5,1.8574674797325965,11.72,7.85,19.13,5.95,2024-01-05 00:00:00,2024-01-05 00:00:00
107,2,5,1.4437319987697421,19.34,14.5,30.29,5.9,2024-01-05 04:48:00,2024-01-05 04:48:00
108,2,5,1.46359497882217,29.45,14.02,19.37,6.08,2024-01-05 09:36:00,2024-01-05 09:36:00
109,2,5,1.3493394844842648,11.69,10.03,23.52,6.65,2024-01-05 14:24:00,2024-01-05 14:24:00
110,2,5,1.3897786931868206,20.78,10.33,21.46,5.92,2024-01-05 19:12:00,2024-01-05 19:12:00
111,3,5,1.6277054620556783,26.66,14.37,24.17,6.23,2024-01-05 00:00:00,2024-01-05 00:00:00
112,3,5,1.4508411337622653,17.92,7.56,27.54,6.94,2024-01-05 04:48:00,2024-01-05 04:48:00
113,3,5,1.2632772949918745,12.59,10.86,28.56,6.9,2024-01-05 09:36:00,2024-01-05 09:36:00
114,3,5,1.178181719953626,18.58,10.81,29.21,6.89,2024-01-05 14:24:00,2024-01-05 14:24:00
115,3,5,1.2012045606577224,23.84,8.54,16.84,6.65,2024-01-05 19:12:00,2024-01-05 19:12:00
116,4,5,1.2589977769421217,23.58,13.92,28.48,6.45,2024-01-05 00:00:00,2024-01-05 00:00:00
117,4,5,1.3164320823131825,17.46,6.39,23.65,6.15,2024-01-05 04:48:00,2024-01-05 04:48:00
118,4,5,1.2627713575005328,20.59,11.53,15.42,6.51,2024-01-05 09:36:00,2024-01-05 09:36:00
119,4,5,1.4119351720174946,28.16,10.87,15.27,5.61,2024-01-05 14:24:00,2024-01-05 14:24:00
120,4,5,1.7255916328453118,25.59,7.92,33.94,5.94,2024-01-05 19:12:00,2024-01-05 19:12:00
121,5,5,1.6155616685567122,22.31,10.36,30.04,6.2,2024-01-05 00:00:00,2024-01-05 00:00:00
122,5,5,1.2639050388707282,15.16,5.11,27.89,7.0,2024-01-05 04:48:00,2024-01-05 04:48:00
123,5,5,1.7626257781581414,16.29,13.85,22.83,6.88,2024-01-05 09:36:00,2024-01-05 09:36:00
124,5,5,1.2519418924956622,28.68,5.13,32.61,6.99,2024-01-05 14:24:00,2024-01-05 14:24:00
125,5,5,1.4143311679393293,22.08,12.7,19.13,5.81,2024-01-05 19:12:00,2024-01-05 19:12:00
126,1,6,1.0401475939853198,16.14,12.7,16.64,6.1,2024-01-06 00:00:00,2024-01-06 00:00:00
127,1,6,1.5263661077755626,14.47,7.2,29.48,6.91,2024-01-06 04:48:00,2024-01-06 04:48:00
128,1,6,1.6641152427201686,18.59,8.72,24.01,6.49,2024-01-06 09:36:00,2024-01-06 09:36:00
129,1,6,1.522733660091721,28.98,12.54,21.25,6.44,2024-01-06 14:24:00,2024-01-06 14:24:00
130,1,6,1.97051862605245,27.39,11.44,32.08,6.27,2024-01-06 19:12:00,2024-01-06 19:12:00
131,2,6,1.7919034266047555,27.94,7.82,26.66,6.82,2024-01-06 00:00:00,2024-01-06 00:00:00
132,2,6,1.4151403691566222,11.24,10.57,20.41,6.67,2024-01-06 04:48:00,2024-01-06 04:48:00
133,2,6,1.3914517706304805,22.82,14.61,24.73,6.14,2024-01-06 09:36:00,2024-01-06 09:36:00
134,2,6,1.5611161903397053,25.93,10.6,21.2,5.74,2024-01-06 14:24:00,2024-01-06 14:24:00
135,2,6,1.582733789818918,27.82,11.06,19.34,5.57,2024-01-06 19:12:00,2024-01-06 19:12:00
136,3,6,1.524082077647775,29.22,5.18,26.11,5.65,2024-01-06 00:00:00,2024-01-06 00:00:00
137,3,6,1.5664314448998944,26.83,13.74,22.97,5.85,2024-01-06 04:48:00,2024-01-06 04:48:00
138,3,6,1.1483789558251045,16.04,11.97,17.49,5.83,2024-01-06 09:36:00,2024-01-06 09:36:00
139,3,6,1.433203380034962,12.9,6.76,34.92,6.24,2024-01-06 14:24:00,2024-01-06 14:24:00
140,3,6,1.192515447458753,14.47,7.45,26.47,5.87,2024-01-06 19:12:00,2024-01-06 19:12:00
141,4,6,1.7902766879055059,20.88,5.21,26.43,6.02,2024-01-06 00:00:00,2024-01-06 00:00:00
142,4,6,1.2998488216340287,10.76,11.13,29.72,5.65,2024-01-06 04:48:00,2024-01-06 04:48:00
143,4,6,1.783509035303115,26.19,9.4,32.7,6.69,2024-01-06 09:36:00,2024-01-06 09:36:00
144,4,6,1.0517362561207237,15.51,6.07,22.45,6.87,2024-01-06 14:24:00,2024-01-06 14:24:00
145,4,6,1.5267259121944665,10.98,5.09,15.95,6.01,2024-01-06 19:12:00,2024-01-06 19:12:00
146,5,6,1.4351933958860685,19.6,14.15,20.33,6.02,2024-01-06 00:00:00,2024-01-06 00:00:00
147,5,6,1.7421793961597578,13.48,9.39,28.69,6.17,2024-01-06 04:48:00,2024-01-06 04:48:00
148,5,6,1.967466848648626,29.45,10.55,19.92,6.06,2024-01-06 09:36:00,2024-01-06 09:36:00
149,5,6,1.7687006635174938,10.45,8.25,20.26,6.15,2024-01-06 14:24:00,2024-01-06 14:24:00
150,5,6,1.9833336826411108,14.53,12.15,25.54,6.21,2024-01-06 19:12:00,2024-01-06 19:12:00
151,1,7,1.7242413024360421,22.99,11.94,18.85,6.37,2024-01-07 00:00:00,2024-01-07 00:00:00
152,1,7,1.63913968174569,25.57,14.81,18.38,5.93,2024-01-07 04:48:00,2024-01-07 04:48:00
153,1,7,1.0265543700573003,18.14,14.29,23.02,5.98,2024-01-07 09:36:00,2024-01-07 09:36:00
154,1,7,1.6416283916272203,16.24,10.19,21.85,5.56,2024-01-07 14:24:00,2024-01-07 14:24:00
155,1,7,1.8099062886197133,14.56,12.97,17.22,5.7,2024-01-07 19:12:00,2024-01-07 19:12:00
156,2,7,1.5279325890643247,19.84,9.08,32.33,6.9,2024-01-07 00:00:00,2024-01-07 00:00:00
157,2,7,1.422360789060821,15.98,7.67,28.14,6.9,2024-01-07 04:48:00,2024-01-07 04:48:00
158,2,7,1.5336408689710197,19.93,12.98,20.04,6.31,2024-01-07 09:36:00,2024-01-07 09:36:00
159,2,7,1.3629588766799388,15.62,8.41,21.31,6.53,2024-01-07 14:24:00,2024-01-07 14:24:00
160,2,7,1.0205811094238961,25.43,6.86,23.55,6.88,2024-01-07 19:12:00,2024-01-07 19:12:00
161,3,7,1.3960557969561425,22.54,5.11,16.55,6.98,2024-01-07 00:00:00,2024-01-07 00:00:00
162,3,7,1.0770637779304622,27.54,10.21,21.26,6.03,2024-01-07 04:48:00,2024-01-07 04:48:00
163,3,7,1.1879760911739918,21.39,11.66,20.29,6.43,2024-01-07 09:36:00,2024-01-07 09:36:00
164,3,7,1.523720333585163,16.42,11.2,27.39,6.16,2024-01-07 14:24:00,2024-01-07 14:24:00
165,3,7,1.001406443229209,18.39,14.9,21.17,6.93,2024-01-07 19:12:00,2024-01-07 19:12:00
166,4,7,1.3792600109621649,20.33,13.57,23.54,6.68,2024-01-07 00:00:00,2024-01-07 00:00:00
167,4,7,1.2839919377125715,11.76,12.53,26.98,5.64,2024-01-07 04:48:00,2024-01-07 04:48:00
168,4,7,1.0939427795289622,23.77,13.1,27.83,6.01,2024-01-07 09:36:00,2024-01-07 09:36:00
169,4,7,1.4867804499764405,16.94,5.18,18.09,5.92,2024-01-07 14:24:00,2024-01-07 14:24:00
170,4,7,1.9868711296799235,12.57,14.14,26.83,6.71,2024-01-07 19:12:00,2024-01-07 19:12:00
171,5,7,1.0730258355663582,17.43,9.71,34.96,5.81,2024-01-07 00:00:00,2024-01-07 00:00:00
172,5,7,1.0842264141696571,20.12,14.93,25.62,6.12,2024-01-07 04:48:00,2024-01-07 04:48:00
173,5,7,1.1537268542810013,23.54,11.25,29.99,6.0,2024-01-07 09:36:00,2024-01-07 09:36:00
174,5,7,1.2657086098563282,11.67,13.31,29.93,5.89,2024-01-07 14:24:00,2024-01-07 14:24:00
175,5,7,1.401773125058845,29.7,14.9,18.58,5.76,2024-01-07 19:12:00,2024-01-07 19:12:00
176,1,8,1.6348942210866908,28.95,10.63,15.75,6.85,2024-01-08 00:00:00,2024-01-08 00:00:00
177,1,8,1.0098385327004864,13.87,7.06,32.9,6.5,2024-01-08 04:48:00,2024-01-08 04:48:00
178,1,8,1.881553832869359,16.0,14.17,34.95,5.88,2024-01-08 09:36:00,2024-01-08 09:36:00
179,1,8,1.8377524717702989,12.54,7.92,15.58,5.85,2024-01-08 14:24:00,2024-01-08 14:24:00
180,1,8,1.5104981885437838,14.97,5.23,27.54,5.93,2024-01-08 19:12:00,2024-01-08 19:12:00
181,2,8,1.9782531029614148,13.88,13.4,20.92,5.57,2024-01-08 00:00:00,2024-01-08 00:00:00
182,2,8,1.1360689000776918,17.57,12.94,25.02,6.58,2024-01-08 04:48:00,2024-01-08 04:48:00
183,2,8,1.6933210938528422,28.04,5.17,25.97,6.69,2024-01-08 09:36:00,2024-01-08 09:36:00
184,2,8,1.01832723183175,21.65,11.09,24.35,5.85,2024-01-08 14:24:00,2024-01-08 14:24:00
185,2,8,1.537157589501891,22.47,9.59,33.71,6.61,2024-01-08 19:12:00,2024-01-08 19:12:00
186,3,8,1.5190841805138078,20.41,9.24,24.37,5.86,2024-01-08 00:00:00,2024-01-08 00:00:00
187,3,8,1.309088538483759,15.95,7.36,33.41,5.83,2024-01-08 04:48:00,2024-01-08 04:48:00
188,3,8,1.8490266183933874,27.94,7.58,31.03,6.15,2024-01-08 09:36:00,2024-01-08 09:36:00
189,3,8,1.8837081883226996,21.92,9.63,27.88,6.3,2024-01-08 14:24:00,2024-01-08 14:24:00
190,3,8,1.3640192263131046,18.25,10.13,17.28,6.75,2024-01-08 19:12:00,2024-01-08 19:12:00
191,4,8,1.6943141604679175,10.24,12.35,31.61,5.57,2024-01-08 00:00:00,2024-01-08 00:00:00
192,4,8,1.3987319722494722,12.05,12.09,15.12,5.74,2024-01-08 04:48:00,2024-01-08 04:48:00
193,4,8,1.8120555371971663,21.4,5.21,27.12,6.65,2024-01-08 09:36:00,2024-01-08 09:36:00
194,4,8,1.8672031572168721,24.69,11.39,23.57,5.75,2024-01-08 14:24:00,2024-01-08 14:24:00
195,4,8,1.3282969170031542,17.84,12.57,28.35,5.88,2024-01-08 19:12:00,2024-01-08 19:12:00
196,5,8,1.3504348786417628,16.06,10.74,27.1,6.46,2024-01-08 00:00:00,2024-01-08 00:00:00
197,5,8,1.9972906281385747,13.4,11.97,17.29,6.36,2024-01-08 04:48:00,2024-01-08 04:48:00
198,5,8,1.1849058462801745,10.4,7.59,27.46,6.3,2024-01-08 09:36:00,2024-01-08 09:36:00
199,5,8,1.6086712696749272,29.34,5.65,31.52,6.05,2024-01-08 14:24:00,2024-01-08 14:24:00
200,5,8,1.6154248458204832,21.87,9.23,28.73,6.13,2024-01-08 19:12:00,2024-01-08 19:12:00
201,1,9,1.4800331403013098,24.88,9.18,26.38,5.93,2024-01-09 00:00:00,2024-01-09 00:00:00
202,1,9,1.0286595528757951,28.2,7.63,31.89,6.06,2024-01-09 04:48:00,2024-01-09 04:48:00
203,1,9,1.1845294427927757,17.06,11.42,20.43,6.15,2024-01-09 09:36:00,2024-01-09 09:36:00
204,1,9,1.715939959793071,17.61,14.04,24.34,6.97,2024-01-09 14:24:00,2024-01-09 14:24:00
205,1,9,1.6844144691987721,18.74,11.53,16.38,6.27,2024-01-09 19:12:00,2024-01-09 19:12:00
206,2,9,1.2427913172212168,29.7,8.84,22.52,6.38,2024-01-09 00:00:00,2024-01-09 00:00:00
207,2,9,1.7696539037867973,15.78,8.3,34.33,6.04,2024-01-09 04:48:00,2024-01-09 04:48:00
208,2,9,1.473174661041575,24.79,10.55,29.47,6.52,2024-01-09 09:36:00,2024-01-09 09:36:00
209,2,9,1.5884876633402936,13.08,9.79,20.28,5.95,2024-01-09 14:24:00,2024-01-09 14:24:00
210,2,9,1.0731569193911805,10.96,6.72,32.68,6.33,2024-01-09 19:12:00,2024-01-09 19:12:00
211,3,9,1.2509895730705374,29.9,6.39,28.69,5.97,2024-01-09 00:00:00,2024-01-09 00:00:00
212,3,9,1.61804435082652,16.0,9.61,33.5,6.22,2024-01-09 04:48:00,2024-01-09 04:48:00
213,3,9,1.0267678469659418,22.87,8.29,22.26,6.08,2024-01-09 09:36:00,2024-01-09 09:36:00
214,3,9,1.7424136844030265,27.5,8.96,17.35,6.5,2024-01-09 14:24:00,2024-01-09 14:24:00
215,3,9,1.8606622197304639,13.26,14.67,31.41,6.81,2024-01-09 19:12:00,2024-01-09 19:12:00
216,4,9,1.0132099260140852,25.43,5.61,30.36,6.92,2024-01-09 00:00:00,2024-01-09 00:00:00
217,4,9,1.683647634525681,18.98,7.97,34.44,6.22,2024-01-09 04:48:00,2024-01-09 04:48:00
218,4,9,1.9010984630409542,27.47,6.9,20.13,6.61,2024-01-09 09:36:00,2024-01-09 09:36:00
219,4,9,1.6619255310210093,10.26,13.28,18.9,5.7,2024-01-09 14:24:00,2024-01-09 14:24:00
220,4,9,1.4758191884791563,11.75,6.0,27.0,6.49,2024-01-09 19:12:00,2024-01-09 19:12:00
221,5,9,1.848639510798452,20.85,7.14,24.72,6.16,2024-01-09 00:00:00,2024-01-09 00:00:00
222,5,9,1.765250334451396,18.36,9.71,15.21,6.88,2024-01-09 04:48:00,2024-01-09 04:48:00
223,5,9,1.911296422745925,17.84,14.82,16.6,6.28,2024-01-09 09:36:00,2024-01-09 09:36:00
224,5,9,1.7018274863456102,27.82,14.66,33.2,6.32,2024-01-09 14:24:00,2024-01-09 14:24:00
225,5,9,1.3174109742991589,14.15,14.24,15.28,6.16,2024-01-09 19:12:00,2024-01-09 19:12:00
226,1,10,1.1850537326117174,19.66,8.4,30.97,6.49,2024-01-10 00:00:00,2024-01-10 00:00:00
227,1,10,1.4592185402297984,20.78,12.27,26.41,6.65,2024-01-10 04:48:00,2024-01-10 04:48:00
228,1,10,1.0727104264906835,15.22,13.05,28.51,6.51,2024-01-10 09:36:00,2024-01-10 09:36:00
229,1,10,1.9321215447828513,10.04,6.97,32.64,5.68,2024-01-10 14:24:00,2024-01-10 14:24:00
230,1,10,1.9425151240092307,12.1,5.23,24.86,5.68,2024-01-10 19:12:00,2024-01-10 19:12:00
231,2,10,1.6650894013154676,17.27,6.05,17.95,6.6,2024-01-10 00:00:00,2024-01-10 00:00:00
232,2,10,1.8239162857537512,26.0,9.49,16.1,6.97,2024-01-10 04:48:00,2024-01-10 04:48:00
233,2,10,1.656296709248065,10.63,9.14,19.46,6.92,2024-01-10 09:36:00,2024-01-10 09:36:00
234,2,10,1.0842417237503497,23.64,6.29,19.55,5.69,2024-01-10 14:24:00,2024-01-10 14:24:00
235,2,10,1.1880196943418029,26.82,11.99,23.49,6.33,2024-01-10 19:12:00,2024-01-10 19:12:00
236,3,10,1.3901397392164132,14.42,5.15,17.1,6.31,2024-01-10 00:00:00,2024-01-10 00:00:00
237,3,10,1.0247445912827833,16.23,7.6,34.75,6.98,2024-01-10 04:48:00,2024-01-10 04:48:00
238,3,10,1.9619507685905306,12.33,7.88,22.09,6.2,2024-01-10 09:36:00,2024-01-10 09:36:00
239,3,10,1.8460211341168997,11.39,8.53,17.34,6.17,2024-01-10 14:24:00,2024-01-10 14:24:00
240,3,10,1.4880584609497005,26.08,14.79,30.08,6.8,2024-01-10 19:12:00,2024-01-10 19:12:00
241,4,10,1.795364143830054,12.44,11.32,15.77,6.73,2024-01-10 00:00:00,2024-01-10 00:00:00
242,4,10,1.5525960063560293,28.16,11.82,17.24,6.51,2024-01-10 04:48:00,2024-01-10 04:48:00
243,4,10,1.9159873000542031,14.86,10.98,21.17,5.59,2024-01-10 09:36:00,2024-01-10 09:36:00
244,4,10,1.8305928959720665,18.13,6.13,23.29,6.34,2024-01-10 14:24:00,2024-01-10 14:24:00
