greenhouseDataId,ownedGreenhouse,airTemperature,humidity,ec,ph,ppm,volumeWaterTank,countWaterFlow,createdAt,updatedAt
33,1,29.306714070960194,55.78,2.13,6.01,451.21,77.46,31.0,2024-01-02 09:36:00,2024-01-02 09:36:00
34,1,32.11861929751252,67.95,1.38,6.38,790.88,81.63,86.0,2024-01-02 14:24:00,2024-01-02 14:24:00
35,1,34.173921764155175,59.7,1.66,6.95,554.21,151.32,31.0,2024-01-02 19:12:00,2024-01-02 19:12:00
36,1,33.419640051383894,40.41,1.99,6.94,579.54,108.39,75.0,2024-01-02 00:00:00,2024-01-02 00:00:00
37,1,33.63860024750067,64.26,2.42,6.48,646.66,76.93,57.0,2024-01-02 04:48:00,2024-01-02 04:48:00
38,1,29.10160734346602,44.35,1.26,6.52,390.49,81.97,48.0,2024-01-02 09:36:00,2024-01-02 09:36:00
39,1,32.431342149314204,88.26,1.77,6.67,357.13,66.4,73.0,2024-01-02 14:24:00,2024-01-02 14:24:00
40,1,29.43726006709978,85.44,1.82,6.13,485.73,64.17,60.0,2024-01-02 19:12:00,2024-01-02 19:12:00
41,1,28.595879250253944,38.92,1.56,6.38,409.05,121.6,23.0,2024-01-02 00:00:00,2024-01-02 00:00:00
42,1,31.177451008617933,41.0,1.82,5.52,357.05,107.18,59.0,2024-01-02 04:48:00,2024-01-02 04:48:00
43,1,28.9159177307298,31.66,2.49,5.6,628.96,126.79,11.0,2024-01-02 09:36:00,2024-01-02 09:36:00
44,1,32.132609055935674,79.96,1.45,5.5,470.45,92.47,98.0,2024-01-02 14:24:00,2024-01-02 14:24:00
45,1,28.075533944915637,53.57,2.28,5.82,347.64,79.33,100.0,2024-01-02 19:12:00,2024-01-02 19:12:00
46,1,30.68151791163352,40.92,1.7,6.58,663.85,74.05,70.0,2024-01-02 00:00:00,2024-01-02 00:00:00
47,1,29.85103277587961,86.64,1.83,6.06,688.25,106.52,65.0,2024-01-02 04:48:00,2024-01-02 04:48:00
48,1,33.56450044121261,54.77,1.95,6.69,653.65,153.98,89.0,2024-01-02 09:36:00,2024-01-02 09:36:00
49,1,29.454623234965016,71.62,1.9,6.52,622.8,123.22,54.0,2024-01-02 14:24:00,2024-01-02 14:24:00
50,1,28.214188805393288,56.24,1.27,5.55,780.54,178.85,96.0,2024-01-02 19:12:00,2024-01-02 19:12:00
51,1,28.765451265398568,43.57,2.11,5.6,379.2,63.28,10.0,2024-01-03 00:00:00,2024-01-03 00:00:00
52,1,33.21899136724887,83.03,1.82,6.36,339.63,187.85,91.0,2024-01-03 04:48:00,2024-01-03 04:48:00
53,1,34.72675622622198,80.56,1.63,6.54,683.78,183.43,94.0,2024-01-03 09:36:00,2024-01-03 09:36:00
54,1,34.387497734845304,64.58,1.87,5.81,451.2,112.36,94.0,2024-01-03 14:24:00,2024-01-03 14:24:00
55,1,34.539556051606866,81.54,2.09,6.88,504.8,53.78,65.0,2024-01-03 19:12:00,2024-01-03 19:12:00
56,1,28.6352041306,87.85,2.44,5.76,633.03,74.08,85.0,2024-01-03 00:00:00,2024-01-03 00:00:00
57,1,30.89441062992113,34.92,2.31,6.1,515.69,112.61,17.0,2024-01-03 04:48:00,2024-01-03 04:48:00
58,1,28.276956060469125,74.46,1.83,5.64,485.83,67.12,81.0,2024-01-03 09:36:00,2024-01-03 09:36:00
59,1,32.6685271292414,39.5,2.49,6.34,335.81,118.15,66.0,2024-01-03 14:24:00,2024-01-03 14:24:00
60,1,28.766165130349414,73.71,2.3,5.88,770.05,62.57,11.0,2024-01-03 19:12:00,2024-01-03 19:12:00
61,1,32.084086850737,68.54,2.47,7.0,413.29,64.53,54.0,2024-01-03 00:00:00,2024-01-03 00:00:00
62,1,30.802946494261604,72.87,2.41,6.91,313.66,148.46,29.0,2024-01-03 04:48:00,2024-01-03 04:48:00
63,1,29.959514146046487,89.72,2.05,5.57,787.48,55.7,41.0,2024-01-03 09:36:00,2024-01-03 09:36:00
64,1,34.38520265310866,88.02,2.06,6.83,319.76,72.12,86.0,2024-01-03 14:24:00,2024-01-03 14:24:00
65,1,30.92164659372444,43.84,1.49,5.56,463.64,199.2,30.0,2024-01-03 19:12:00,2024-01-03 19:12:00
66,1,34.554257660069176,72.59,1.99,6.16,568.26,145.33,81.0,2024-01-03 00:00:00,2024-01-03 00:00:00
67,1,34.72173063708518,65.27,1.55,5.74,364.2,60.77,39.0,2024-01-03 04:48:00,2024-01-03 04:48:00
68,1,29.770870533931433,44.26,1.39,6.93,656.92,185.62,78.0,2024-01-03 09:36:00,2024-01-03 09:36:00
69,1,33.533530232311904,74.45,1.55,6.9,741.33,81.39,48.0,2024-01-03 14:24:00,2024-01-03 14:24:00
70,1,32.67953224299221,74.44,1.74,5.61,576.95,90.4,14.0,2024-01-03 19:12:00,2024-01-03 19:12:00
71,1,30.94864864144911,41.89,2.49,5.54,657.42,106.05,44.0,2024-01-03 00:00:00,2024-01-03 00:00:00
72,1,30.045372209267782,75.58,2.23,6.93,609.25,175.86,63.0,2024-01-03 04:48:00,2024-01-03 04:48:00
73,1,32.37045280005001,41.94,1.81,6.95,684.25,129.36,19.0,2024-01-03 09:36:00,2024-01-03 09:36:00
74,1,32.42653130648837,40.82,2.45,6.83,582.34,195.65,81.0,2024-01-03 14:24:00,2024-01-03 14:24:00
75,1,29.698143129428384,43.24,1.57,6.4,637.92,141.43,78.0,2024-01-03 19:12:00,2024-01-03 19:12:00
76,1,30.964412259594226,51.99,1.48,6.38,544.05,77.38,11.0,2024-01-04 00:00:00,2024-01-04 00:00:00
77,1,29.808069954402843,62.54,1.49,5.57,600.64,193.55,99.0,2024-01-04 04:48:00,2024-01-04 04:48:00
78,1,32.367901067904945,67.69,1.75,5.66,595.52,122.05,17.0,2024-01-04 09:36:00,2024-01-04 09:36:00
79,1,33.39818492618813,61.05,1.76,6.32,438.66,134.1,83.0,2024-01-04 14:24:00,2024-01-04 14:24:00
80,1,28.999088745367313,51.49,1.83,6.61,401.67,105.68,34.0,2024-01-04 19:12:00,2024-01-04 19:12:00
81,1,29.33740108335541,66.14,1.23,5.51,798.88,71.08,89.0,2024-01-04 00:00:00,2024-01-04 00:00:00
82,1,28.186042958235614,40.25,2.11,6.01,718.47,138.91,72.0,2024-01-04 04:48:00,2024-01-04 04:48:00
83,1,29.503962684007927,39.38,2.33,5.72,407.04,64.59,43.0,2024-01-04 09:36:00,2024-01-04 09:36:00
84,1,28.007993637606713,50.77,1.77,6.78,565.62,135.72,86.0,2024-01-04 14:24:00,2024-01-04 14:24:00
85,1,32.22852655381109,61.41,1.49,6.33,626.1,188.75,60.0,2024-01-04 19:12:00,2024-01-04 19:12:00
86,1,30.82550895499818,85.07,1.97,5.89,308.93,62.18,94.0,2024-01-04 00:00:00,2024-01-04 00:00:00
87,1,29.582119162353862,31.35,1.34,6.55,393.8,172.84,74.0,2024-01-04 04:48:00,2024-01-04 04:48:00
88,1,29.2057803843566,71.82,2.3,6.63,736.72,139.64,50.0,2024-01-04 09:36:00,2024-01-04 09:36:00
89,1,28.751551060291682,38.09,1.22,5.63,771.65,127.62,92.0,2024-01-04 14:24:00,2024-01-04 14:24:00
90,1,30.44359910205019,87.19,2.18,5.97,665.61,156.87,91.0,2024-01-04 19:12:00,2024-01-04 19:12:00
91,1,34.21616735821097,43.4,1.34,5.72,796.86,195.12,82.0,2024-01-04 00:00:00,2024-01-04 00:00:00
92,1,30.626036953969237,38.83,2.26,6.95,539.09,124.1,41.0,2024-01-04 04:48:00,2024-01-04 04:48:00
93,1,31.06077837321792,31.64,1.85,5.66,385.5,192.9,76.0,2024-01-04 09:36:00,2024-01-04 09:36:00
94,1,28.37627085079608,43.35,2.18,6.66,399.31,196.99,90.0,2024-01-04 14:24:00,2024-01-04 14:24:00
95,1,33.09968725296639,35.01,2.18,6.16,652.37,79.53,64.0,2024-01-04 19:12:00,2024-01-04 19:12:00
96,1,33.828237159233105,45.05,1.22,5.74,734.97,172.38,43.0,2024-01-04 00:00:00,2024-01-04 00:00:00
97,1,34.684585790823725,75.6,2.13,6.52,629.59,96.9,81.0,2024-01-04 04:48:00,2024-01-04 04:48:00
98,1,30.294418605755126,77.66,2.11,6.22,773.6,116.88,75.0,2024-01-04 09:36:00,2024-01-04 09:36:00
99,1,30.860063434750522,72.96,1.93,6.71,448.0,73.68,45.0,2024-01-04 14:24:00,2024-01-04 14:24:00
100,1,34.322107193642495,32.93,1.29,6.52,536.23,166.16,45.0,2024-01-04 19:12:00,2024-01-04 19:12:00
101,1,34.30024776132727,55.56,2.05,5.56,447.66,185.12,66.0,2024-01-05 00:00:00,2024-01-05 00:00:00
102,1,29.91187961683117,88.52,1.29,6.18,619.75,132.04,15.0,2024-01-05 04:48:00,2024-01-05 04:48:00
103,1,30.887226147868386,67.2,2.41,6.56,447.18,177.37,72.0,2024-01-05 09:36:00,2024-01-05 09:36:00
104,1,32.95810824780754,76.58,2.27,5.98,696.96,154.64,40.0,2024-01-05 14:24:00,2024-01-05 14:24:00
105,1,30.505103924445205,37.88,1.33,6.11,732.43,66.01,54.0,2024-01-05 19:12:00,2024-01-05 19:12:00
106,1,32.69729326719073,56.21,2.04,5.6,527.46,140.27,75.0,2024-01-05 00:00:00,2024-01-05 00:00:00
107,1,34.54990115138221,45.82,1.68,6.79,602.13,178.49,71.0,2024-01-05 04:48:00,2024-01-05 04:48:00
108,1,31.970504930170403,57.11,1.77,6.08,642.93,128.45,12.0,2024-01-05 09:36:00,2024-01-05 09:36:00
109,1,29.92339673251886,88.99,1.99,5.52,704.58,137.2,64.0,2024-01-05 14:24:00,2024-01-05 14:24:00
110,1,29.27885706920033,53.02,2.4,5.91,465.16,142.75,91.0,2024-01-05 19:12:00,2024-01-05 19:12:00
111,1,28.600865598603132,48.99,1.35,5.71,450.49,179.89,77.0,2024-01-05 00:00:00,2024-01-05 00:00:00
112,1,33.77082804645701,66.13,2.12,5.58,435.49,79.11,82.0,2024-01-05 04:48:00,2024-01-05 04:48:00
113,1,34.37152373317573,54.96,2.25,5.58,459.87,84.51,84.0,2024-01-05 09:36:00,2024-01-05 09:36:00
114,1,33.30547349956636,38.56,1.54,5.61,419.04,197.08,87.0,2024-01-05 14:24:00,2024-01-05 14:24:00
115,1,31.09380732150412,76.65,1.68,6.52,503.21,131.58,16.0,2024-01-05 19:12:00,2024-01-05 19:12:00
116,1,34.278057900770975,31.35,2.37,6.02,743.36,74.88,34.0,2024-01-05 00:00:00,2024-01-05 00:00:00
117,1,32.98311958329861,56.89,1.72,5.96,334.86,140.79,18.0,2024-01-05 04:48:00,2024-01-05 04:48:00
118,1,29.792137573879103,49.43,2.12,5.66,375.83,179.95,89.0,2024-01-05 09:36:00,2024-01-05 09:36:00
119,1,34.96919538861937,32.22,2.13,5.55,381.7,192.96,57.0,2024-01-05 14:24:00,2024-01-05 14:24:00
120,1,29.643338980734097,38.2,2.12,5.89,776.32,87.67,78.0,2024-01-05 19:12:00,2024-01-05 19:12:00
121,1,33.32032450217779,51.22,1.69,6.89,546.02,94.45,32.0,2024-01-05 00:00:00,2024-01-05 00:00:00
122,1,32.11548639522031,50.81,1.98,6.3,719.64,184.32,25.0,2024-01-05 04:48:00,2024-01-05 04:48:00
123,1,28.81085156240238,48.0,1.43,6.87,703.35,120.8,89.0,2024-01-05 09:36:00,2024-01-05 09:36:00
124,1,34.41952858661248,72.05,1.66,6.79,745.81,127.84,89.0,2024-01-05 14:24:00,2024-01-05 14:24:00
125,1,31.94671763748301,41.87,1.62,5.75,341.72,153.32,90.0,2024-01-05 19:12:00,2024-01-05 19:12:00
126,1,32.63457576961321,30.23,1.69,5.7,736.46,178.1,56.0,2024-01-06 00:00:00,2024-01-06 00:00:00
127,1,29.851704692687775,46.15,2.41,5.62,772.02,71.58,69.0,2024-01-06 04:48:00,2024-01-06 04:48:00
128,1,32.503497658709826,41.45,2.34,6.32,556.55,52.45,66.0,2024-01-06 09:36:00,2024-01-06 09:36:00
129,1,29.899921881812975,43.74,1.88,6.07,544.31,162.56,62.0,2024-01-06 14:24:00,2024-01-06 14:24:00
130,1,33.95920653056983,68.11,2.47,6.78,504.84,78.6,40.0,2024-01-06 19:12:00,2024-01-06 19:12:00
131,1,30.438261424167806,68.6,1.96,6.53,395.77,141.61,71.0,2024-01-06 00:00:00,2024-01-06 00:00:00
132,1,29.927790895112924,52.02,1.39,5.56,420.17,54.55,59.0,2024-01-06 04:48:00,2024-01-06 04:48:00
133,1,31.13815262654642,77.4,1.32,6.33,608.16,153.18,40.0,2024-01-06 09:36:00,2024-01-06 09:36:00
134,1,28.98032821402076,61.81,1.62,6.31,446.38,179.48,56.0,2024-01-06 14:24:00,2024-01-06 14:24:00
135,1,32.50368171659617,70.49,1.45,6.75,433.66,147.98,71.0,2024-01-06 19:12:00,2024-01-06 19:12:00
136,1,30.981251927800653,59.0,1.43,5.96,712.54,171.61,79.0,2024-01-06 00:00:00,2024-01-06 00:00:00
137,1,30.686510680652734,73.78,1.73,6.86,367.97,162.08,44.0,2024-01-06 04:48:00,2024-01-06 04:48:00
138,1,31.616038477121318,72.64,2.22,5.81,568.6,60.56,55.0,2024-01-06 09:36:00,2024-01-06 09:36:00
139,1,33.45242521676307,50.92,1.66,6.45,326.9,90.63,40.0,2024-01-06 14:24:00,2024-01-06 14:24:00
140,1,28.273911283605923,84.0,1.94,6.44,384.19,112.48,46.0,2024-01-06 19:12:00,2024-01-06 19:12:00
141,1,28.22248928008023,65.21,1.4,6.72,619.99,199.44,31.0,2024-01-06 00:00:00,2024-01-06 00:00:00
142,1,33.69297287289039,66.28,1.87,5.78,477.88,108.88,12.0,2024-01-06 04:48:00,2024-01-06 04:48:00
143,1,28.80535728456725,50.69,1.76,6.52,523.7,138.38,93.0,2024-01-06 09:36:00,2024-01-06 09:36:00
144,1,34.20540228539181,81.28,2.31,6.06,541.71,97.73,69.0,2024-01-06 14:24:00,2024-01-06 14:24:00
145,1,29.14766431968715,33.44,1.97,6.31,356.37,108.74,26.0,2024-01-06 19:12:00,2024-01-06 19:12:00
146,1,34.147097536773614,58.9,2.24,6.51,570.83,88.72,64.0,2024-01-06 00:00:00,2024-01-06 00:00:00
147,1,29.081953644556208,53.51,1.64,5.59,644.47,58.06,80.0,2024-01-06 04:48:00,2024-01-06 04:48:00
148,1,33.09802018074612,34.88,1.41,6.98,639.35,67.92,79.0,2024-01-06 09:36:00,2024-01-06 09:36:00
149,1,33.06038737423829,45.15,2.34,6.92,416.13,104.95,61.0,2024-01-06 14:24:00,2024-01-06 14:24:00
150,1,29.939904109522114,40.73,2.1,5.64,606.81,196.17,36.0,2024-01-06 19:12:00,2024-01-06 19:12:00
151,1,33.02519890639239,38.86,2.3,6.11,567.14,161.48,92.0,2024-01-07 00:00:00,2024-01-07 00:00:00
152,1,33.19337450557388,31.85,2.41,6.71,474.05,52.48,61.0,2024-01-07 04:48:00,2024-01-07 04:48:00
153,1,29.96448667590891,61.51,2.42,5.99,754.72,188.79,47.0,2024-01-07 09:36:00,2024-01-07 09:36:00
154,1,28.36380647942493,55.41,1.41,6.44,770.6,190.04,31.0,2024-01-07 14:24:00,2024-01-07 14:24:00
155,1,32.232393896430025,82.55,1.69,6.84,544.82,180.22,91.0,2024-01-07 19:12:00,2024-01-07 19:12:00
156,1,28.435288324715582,35.86,1.84,6.65,717.33,180.46,54.0,2024-01-07 00:00:00,2024-01-07 00:00:00
157,1,29.748318725545882,43.77,1.93,5.63,596.79,104.64,58.0,2024-01-07 04:48:00,2024-01-07 04:48:00
158,1,32.91956577032005,52.55,2.38,6.87,626.49,185.87,18.0,2024-01-07 09:36:00,2024-01-07 09:36:00
159,1,33.19311530644788,31.4,1.34,6.26,707.55,91.09,16.0,2024-01-07 14:24:00,2024-01-07 14:24:00
160,1,31.714953353452195,39.21,1.43,6.22,554.03,118.04,99.0,2024-01-07 19:12:00,2024-01-07 19:12:00
161,1,30.28796614425992,47.36,1.96,5.98,694.13,55.06,25.0,2024-01-07 00:00:00,2024-01-07 00:00:00
162,1,31.793242315019405,41.56,1.73,6.3,595.2,136.96,16.0,2024-01-07 04:48:00,2024-01-07 04:48:00
163,1,32.08789390028472,86.47,1.2,5.69,301.93,166.04,85.0,2024-01-07 09:36:00,2024-01-07 09:36:00
164,1,28.68104286311691,65.0,1.94,5.78,584.81,90.06,52.0,2024-01-07 14:24:00,2024-01-07 14:24:00
165,1,33.0617088882376,31.59,2.15,6.36,300.49,141.77,59.0,2024-01-07 19:12:00,2024-01-07 19:12:00
166,1,33.756658201604424,81.66,1.41,5.55,660.93,182.68,21.0,2024-01-07 00:00:00,2024-01-07 00:00:00
167,1,34.593934851167276,51.91,1.94,5.55,729.9,113.06,89.0,2024-01-07 04:48:00,2024-01-07 04:48:00
168,1,30.416388113218908,33.12,1.67,6.05,742.0,168.02,88.0,2024-01-07 09:36:00,2024-01-07 09:36:00
169,1,31.110594051367837,42.15,2.13,6.78,748.68,175.86,49.0,2024-01-07 14:24:00,2024-01-07 14:24:00
170,1,33.032818920960054,64.09,2.13,6.27,498.6,81.7,34.0,2024-01-07 19:12:00,2024-01-07 19:12:00
171,1,34.1296263073663,50.39,1.27,6.64,303.2,85.31,57.0,2024-01-07 00:00:00,2024-01-07 00:00:00
172,1,28.359852094748693,67.08,1.62,6.49,610.52,107.64,32.0,2024-01-07 04:48:00,2024-01-07 04:48:00
173,1,31.441928750577798,51.99,1.36,6.97,405.23,86.29,53.0,2024-01-07 09:36:00,2024-01-07 09:36:00
174,1,32.42668977346418,72.59,2.14,6.99,737.01,163.09,18.0,2024-01-07 14:24:00,2024-01-07 14:24:00
175,1,33.21484899840515,60.31,1.86,6.72,796.22,148.41,30.0,2024-01-07 19:12:00,2024-01-07 19:12:00
176,1,34.80096411077274,76.28,1.66,6.31,507.81,146.52,55.0,2024-01-08 00:00:00,2024-01-08 00:00:00
177,1,29.578455019274664,33.11,1.95,6.67,376.51,74.5,35.0,2024-01-08 04:48:00,2024-01-08 04:48:00
178,1,29.915156194221275,56.73,2.28,6.1,707.27,77.51,42.0,2024-01-08 09:36:00,2024-01-08 09:36:00
179,1,33.1590875576772,76.7,1.59,6.9,575.83,111.98,12.0,2024-01-08 14:24:00,2024-01-08 14:24:00
180,1,31.18848562463883,30.29,2.18,5.76,524.5,175.69,92.0,2024-01-08 19:12:00,2024-01-08 19:12:00
181,1,31.751924314190664,36.55,1.32,5.72,564.43,50.75,82.0,2024-01-08 00:00:00,2024-01-08 00:00:00
182,1,34.48580137635383,46.97,2.03,6.16,693.15,114.61,66.0,2024-01-08 04:48:00,2024-01-08 04:48:00
183,1,32.77947888467211,68.3,1.39,6.8,750.51,123.34,69.0,2024-01-08 09:36:00,2024-01-08 09:36:00
184,1,31.971977457296386,77.25,1.71,6.9,754.44,77.64,43.0,2024-01-08 14:24:00,2024-01-08 14:24:00
185,1,33.487574677726826,42.06,1.41,6.1,565.98,165.74,88.0,2024-01-08 19:12:00,2024-01-08 19:12:00
186,1,28.721220210274474,66.45,1.84,6.27,394.89,97.5,80.0,2024-01-08 00:00:00,2024-01-08 00:00:00
187,1,30.478542917828335,59.04,1.31,6.15,434.31,126.51,24.0,2024-01-08 04:48:00,2024-01-08 04:48:00
188,1,29.23853853734732,40.68,1.69,7.0,795.71,135.6,97.0,2024-01-08 09:36:00,2024-01-08 09:36:00
189,1,32.04306369942012,86.99,1.26,6.64,326.45,54.94,83.0,2024-01-08 14:24:00,2024-01-08 14:24:00
190,1,31.785527545678885,86.76,2.48,6.24,472.81,72.88,79.0,2024-01-08 19:12:00,2024-01-08 19:12:00
191,1,29.661290931760888,73.49,2.36,6.57,338.02,103.5,62.0,2024-01-08 00:00:00,2024-01-08 00:00:00
192,1,33.67262036048634,86.67,1.2,6.18,415.76,114.57,17.0,2024-01-08 04:48:00,2024-01-08 04:48:00
193,1,31.97735085288403,58.35,1.81,6.68,498.15,92.63,45.0,2024-01-08 09:36:00,2024-01-08 09:36:00
194,1,28.110690465245742,69.16,2.23,5.5,744.24,84.63,81.0,2024-01-08 14:24:00,2024-01-08 14:24:00
195,1,29.995403498495044,72.85,1.58,5.71,320.05,79.11,79.0,2024-01-08 19:12:00,2024-01-08 19:12:00
196,1,28.251632167500695,46.83,2.4,6.66,454.42,50.63,59.0,2024-01-08 00:00:00,2024-01-08 00:00:00
197,1,31.484515022174683,60.53,1.88,6.7,421.15,180.59,65.0,2024-01-08 04:48:00,2024-01-08 04:48:00
198,1,33.2361052459499,64.41,2.18,6.48,712.05,51.78,71.0,2024-01-08 09:36:00,2024-01-08 09:36:00
199,1,29.78734227746488,71.45,2.07,5.84,615.06,169.46,64.0,2024-01-08 14:24:00,2024-01-08 14:24:00
200,1,33.40963218846473,45.66,1.32,6.51,519.78,178.26,38.0,2024-01-08 19:12:00,2024-01-08 19:12:00
201,1,30.766649302681383,62.06,1.9,6.12,483.76,53.33,32.0,2024-01-09 00:00:00,2024-01-09 00:00:00
202,1,31.709069360756427,52.67,1.28,6.81,411.46,129.64,56.0,2024-01-09 04:48:00,2024-01-09 04:48:00
203,1,33.7332231635691,55.66,1.26,6.03,452.88,186.48,31.0,2024-01-09 09:36:00,2024-01-09 09:36:00
204,1,32.186980562883626,49.69,1.35,5.64,376.59,127.97,84.0,2024-01-09 14:24:00,2024-01-09 14:24:00
205,1,28.33050514321164,82.99,1.75,6.29,511.3,62.81,96.0,2024-01-09 19:12:00,2024-01-09 19:12:00
206,1,33.26171136239332,30.85,1.72,5.9,786.49,132.81,82.0,2024-01-09 00:00:00,2024-01-09 00:00:00
207,1,32.825086101634156,81.93,1.25,5.86,319.74,83.31,94.0,2024-01-09 04:48:00,2024-01-09 04:48:00
208,1,29.567297843399153,83.95,1.62,6.57,500.39,67.61,91.0,2024-01-09 09:36:00,2024-01-09 09:36:00
209,1,31.52783960699085,85.42,1.41,6.29,660.39,179.92,28.0,2024-01-09 14:24:00,2024-01-09 14:24:00
210,1,34.40263734875057,33.18,2.41,6.28,547.19,184.04,56.0,2024-01-09 19:12:00,2024-01-09 19:12:00
211,1,30.694674611224467,37.08,2.47,5.96,393.02,132.82,52.0,2024-01-09 00:00:00,2024-01-09 00:00:00
212,1,29.53021874756097,54.38,1.52,6.06,584.05,132.19,100.0,2024-01-09 04:48:00,2024-01-09 04:48:00
213,1,29.84746223890474,57.12,1.89,6.47,596.03,146.5,96.0,2024-01-09 09:36:00,2024-01-09 09:36:00
214,1,30.75841928643987,84.3,2.31,6.94,345.79,58.56,93.0,2024-01-09 14:24:00,2024-01-09 14:24:00
215,1,29.473726060027982,46.58,2.45,6.18,540.39,91.88,17.0,2024-01-09 19:12:00,2024-01-09 19:12:00
216,1,30.33132280457766,67.65,1.44,5.73,330.27,73.16,80.0,2024-01-09 00:00:00,2024-01-09 00:00:00
217,1,33.92878604418611,37.15,1.35,6.65,794.23,130.23,78.0,2024-01-09 04:48:00,2024-01-09 04:48:00
218,1,30.808753679095876,36.02,2.23,6.26,530.67,145.72,61.0,2024-01-09 09:36:00,2024-01-09 09:36:00
219,1,30.327871204254595,42.59,2.48,6.31,792.53,171.22,53.0,2024-01-09 14:24:00,2024-01-09 14:24:00
220,1,29.00674966278227,61.52,1.86,5.67,632.93,79.29,35.0,2024-01-09 19:12:00,2024-01-09 19:12:00
221,1,32.8873380525194,53.5,1.32,6.14,793.27,65.32,94.0,2024-01-09 00:00:00,2024-01-09 00:00:00
222,1,31.187300494690025,86.94,1.47,6.13,546.62,93.26,77.0,2024-01-09 04:48:00,2024-01-09 04:48:00
223,1,31.003309905734984,38.05,2.07,5.95,505.18,129.8,86.0,2024-01-09 09:36:00,2024-01-09 09:36:00
